Business_Name,City,Latitude,Longitude,Est_Monthly_Qty
Logan Mobile & EV Repairs,Bengaluru,12.979861975735918,77.592722654199,108
Vedant Mobile & EV Repairs,Chennai,13.05645112637728,80.25973506691726,27
Chavvi Mobile & EV Repairs,Kochi,9.894044633801785,76.25390038560833,73
Lucky Mobile & EV Repairs,Chennai,13.059634105546474,80.26257290597272,106
Elijah Mobile & EV Repairs,Chennai,13.111177624267045,80.31348841035548,167
Divya Mobile & EV Repairs,Hyderabad,17.428205839812918,78.46325292961843,132
Siya Mobile & EV Repairs,Bengaluru,12.921760950934786,77.5595920971746,30
Nidhi Mobile & EV Repairs,Hyderabad,17.411211426909162,78.53666965406559,149
Daksh Mobile & EV Repairs,Chennai,13.060511271754011,80.24036784835714,147
Yadavi Mobile & EV Repairs,Hyderabad,17.34721699955326,78.50543090813952,92
Lopa Mobile & EV Repairs,Kochi,9.9248546480936,76.2474164351379,66
Varsha Mobile & EV Repairs,Kochi,9.943588533459202,76.24790180279669,153
Advik Mobile & EV Repairs,Bengaluru,12.928125124245987,77.61114303414202,192
Ekapad Mobile & EV Repairs,Hyderabad,17.409008929437473,78.45412588476549,142
Tara Mobile & EV Repairs,Chennai,13.065074609949264,80.3017800933071,164
Leela Mobile & EV Repairs,Kochi,9.930823007895617,76.31355508985821,188
Kevin Mobile & EV Repairs,Kochi,9.899499606524465,76.22982496786753,44
Udarsh Mobile & EV Repairs,Kochi,9.97033575135354,76.24076216138316,154
Ekansh Mobile & EV Repairs,Chennai,13.084844430787207,80.28910512382522,70
Rachit Mobile & EV Repairs,Chennai,13.120464641339233,80.2619750603111,25
Naksh Mobile & EV Repairs,Kochi,9.928133703864011,76.21813493204516,147
Abhimanyu Mobile & EV Repairs,Chennai,13.036479526962225,80.27360553088452,71
Onveer Mobile & EV Repairs,Kochi,9.974736919208611,76.26727111990861,118
Aryan Mobile & EV Repairs,Hyderabad,17.346272019997652,78.49475592153381,37
Vrinda Mobile & EV Repairs,Bengaluru,13.003777262090265,77.61870164126306,97
Adya Mobile & EV Repairs,Kochi,9.893891814534879,76.24029648573685,28
Deepa Mobile & EV Repairs,Kochi,9.907931735176161,76.30631368167805,106
Bina Mobile & EV Repairs,Bengaluru,12.985490525534184,77.63163284755508,149
Bachittar Mobile & EV Repairs,Bengaluru,12.969330941947918,77.59761553885073,51
Yatin Mobile & EV Repairs,Bengaluru,13.012770043200383,77.55548569893291,55
Samaksh Mobile & EV Repairs,Chennai,13.067841426925469,80.22292504937961,23
Chakradev Mobile & EV Repairs,Hyderabad,17.413714609790688,78.52346757036429,155
Anthony Mobile & EV Repairs,Kochi,9.9696342867369,76.23615665913478,115
Veda Mobile & EV Repairs,Kochi,9.938222816983005,76.27121029418456,40
Mohammed Mobile & EV Repairs,Chennai,13.130255169818012,80.27536366556043,63
Siya Mobile & EV Repairs,Chennai,13.109328530364031,80.29943463385139,152
Nitara Mobile & EV Repairs,Kochi,9.930471342068502,76.30504603159486,132
Robert Mobile & EV Repairs,Chennai,13.04860525512622,80.29783140179832,105
Vyanjana Mobile & EV Repairs,Chennai,13.07499088151079,80.2414659875675,112
Tanay Mobile & EV Repairs,Chennai,13.048879317811277,80.27333427150272,165
Pahal Mobile & EV Repairs,Bengaluru,12.998414024599105,77.56884700880599,51
Darsh Mobile & EV Repairs,Kochi,9.913211606982724,76.22344073875973,110
Aarna Mobile & EV Repairs,Hyderabad,17.414942047868657,78.45968289741192,141
Ekavir Mobile & EV Repairs,Chennai,13.040879793775547,80.2577424825924,126
Samuel Mobile & EV Repairs,Bengaluru,12.94437674035387,77.6094662907496,178
Nicholas Mobile & EV Repairs,Hyderabad,17.426966811305046,78.5068909446064,162
Dhruv Mobile & EV Repairs,Chennai,13.061214458144281,80.23075980135951,114
Aishani Mobile & EV Repairs,Kochi,9.897801248645841,76.23236565188097,41
Chaman Mobile & EV Repairs,Hyderabad,17.43059008911989,78.49968954160441,104
Kamya Mobile & EV Repairs,Bengaluru,12.931210949102773,77.63315107951951,41
Chaitanya Mobile & EV Repairs,Bengaluru,13.00555276990961,77.6365025236763,159
Hemani Mobile & EV Repairs,Kochi,9.93873895327259,76.30768091495375,62
Pratyush Mobile & EV Repairs,Hyderabad,17.39361858329734,78.49543298485555,77
Ekaraj Mobile & EV Repairs,Chennai,13.089857356566794,80.25469929785912,71
Harita Mobile & EV Repairs,Hyderabad,17.34483607298029,78.46033279061571,122
Devansh Mobile & EV Repairs,Chennai,13.062566665197101,80.25308769691557,31
Kritika Mobile & EV Repairs,Bengaluru,12.925092206125584,77.58311093100863,31
Meera Mobile & EV Repairs,Chennai,13.08376095655945,80.27729475748727,46
Quincy Mobile & EV Repairs,Kochi,9.95501992102344,76.2690241426285,88
Panini Mobile & EV Repairs,Bengaluru,12.995257066594602,77.64126476384266,25
Anay Mobile & EV Repairs,Kochi,9.911814703499664,76.2962028321331,88
Vansha Mobile & EV Repairs,Chennai,13.070790496276244,80.22197342660763,112
Yashodhara Mobile & EV Repairs,Chennai,13.098788590940593,80.29457768442563,74
Ira Mobile & EV Repairs,Chennai,13.044013095662981,80.26768152463755,38
Varsha Mobile & EV Repairs,Hyderabad,17.387887196984707,78.47823083375695,56
Aayush Mobile & EV Repairs,Chennai,13.10903254526649,80.28499482849585,100
Lakshit Mobile & EV Repairs,Chennai,13.088061962196365,80.31488554298649,143
